movieNm,naverScore
극장판 공룡메카드: 타이니소어의 섬,9.15
길버트 그레이프,9.15
코렐라인: 비밀의 문,9.15
칠곡 가시나들,9.15
아름다운 세상을 위하여,9.14
귀를 기울이면,9.14
에너미 오브 스테이트,9.14
범죄도시,9.14
설리: 허드슨강의 기적,9.14
러브 어페어,9.14
즐거운 인생,9.14
블러드 다이아몬드,9.14
오즈의 마법사,9.14
할머니는 일학년,9.14
취권,9.13
첨밀밀,9.13
국가대표,9.13
말모이,9.13
후크,9.13
쉘 위 댄스,9.13
오직 그대만,9.13
트윈스터즈,9.13
스텝 업 3D,9.13
클릭,9.13
그해 여름,9.13
스트레인저 - 무황인담,9.13
스피드,9.13
혐오스런 마츠코의 일생,9.13
짱구는 못말려 극장판: 태풍을 부르는 노래하는 엉덩이 폭탄!,9.13
내겐 너무 소중한 너,9.12
패딩턴 2,9.12
봄날은 간다,9.12
겨울왕국,9.12
와이키키 브라더스,9.12
러브레터,9.12
우드잡,9.12
보물성,9.12
미션 임파서블: 폴아웃,9.12
늑대아이,9.12
뱀파이어와의 인터뷰,9.12
다키스트 아워,9.12
스틸 라이프,9.12
철가방 우수氏,9.12
짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습,9.12
아는 여자,9.12
호로비츠를 위하여,9.12
아버지의 이름으로,9.12
저수지 게임,9.11
히트,9.11
노킹 온 헤븐스 도어,9.11
점박이 한반도의 공룡2 : 새로운 낙원,9.11
이터널 선샤인,9.11
써니,9.11
빽 투 더 퓨쳐 3,9.11
나이브스 아웃,9.11
분노의 질주: 더 세븐,9.11
아나스타샤,9.11
킹 오브 프리즘 프라이드 더 히어로,9.11
에이리언,9.11
스탠 바이 미,9.11
무간도,9.11
인터스텔라,9.11
빅 히어로,9.10
용서받지 못한 자,9.10
드래곤볼 슈퍼: 브로리,9.10
하치 이야기,9.10
스타워즈 에피소드 3 - 시스의 복수,9.10
블랙 호크 다운,9.10
라야와 마지막 드래곤,9.10
하울의 움직이는 성,9.10
파도가 지나간 자리,9.10
싸이코,9.10
뮬란,9.10
피터팬,9.10
웨딩 드레스,9.10
투캅스 3,9.10
증인,9.10
콘 에어,9.10
노팅 힐,9.09
미쓰백,9.09
용서받지 못한 자,9.09
정무문,9.09
샤인,9.09
극장판 쿠로코의 농구 라스트 게임,9.09
7인의 사무라이,9.09
추격자,9.09
러브 오브 시베리아,9.09
클리프행어,9.09
보디가드,9.09
공범자들,9.09
버킷리스트: 죽기 전에 꼭 하고 싶은 것들,9.09
패치 아담스,9.09
글루미 선데이,9.09
호텔 르완다,9.08
파이란,9.08
시스터 액트 2,9.08
내일을 향해 쏴라,9.08
피아니스트 세이모어의 뉴욕 소네트,9.08
피케이: 별에서 온 얼간이,9.08
첩혈쌍웅,9.08
스타워즈 에피소드 5 - 제국의 역습,9.08
피의 연대기,9.08
너는 내 운명,9.08
책상 서랍 속의 동화,9.08
인사이드 아웃,9.08
마이 걸,9.08
밀리언 달러 베이비,9.08
아바타,9.07
에린 브로코비치,9.07
쓰리 세컨즈,9.07
송가인 더 드라마,9.07
로건,9.07
업그레이드,9.07
에반게리온: 파,9.07
당신이 잠든 사이에,9.07
이연걸의 정무문,9.07
캐리비안의 해적 - 블랙 펄의 저주,9.06
이프 온리,9.06
록키 2,9.06
7월 4일생,9.06
아이덴티티,9.06
명탐정 코난: 침묵의 15분,9.06
바그다드 카페 : 디렉터스컷,9.06
내 깡패 같은 애인,9.06
하치 이야기,9.06
노트북,9.06
댄서,9.06
미스비헤이비어,9.06
타오르는 여인의 초상,9.06
블랙,9.05
리얼 스틸,9.05
식스 센스,9.05
세븐 데이즈,9.05
얼라이브,9.05
누들,9.05
배트맨 2,9.05
조 블랙의 사랑,9.05
퍼펙트 월드,9.05
브루스 올마이티,9.05
구니스,9.05
호텔 뭄바이,9.05
서프러제트,9.05
어린 의뢰인,9.05
GROW: 인피니트의 리얼 청춘 라이프,9.05
도신 - 정전자,9.05
명탐정 코난 : 제로의 집행인,9.05
경찰서를 털어라,9.05
아마겟돈,9.05
아홉살 인생,9.05
월플라워,9.05
하모니,9.05
"제자, 옥한흠",9.05
가디언,9.05
인디아나 존스 - 최후의 성전,9.05
올드보이,9.04
도니 브래스코,9.04
왕의 남자,9.04
다이 하드 3,9.04
메리 크리스마스,9.04
캡틴 필립스,9.04
루카,9.04
내부자들: 디 오리지널,9.04
터보,9.04
나는 고양이로소이다,9.04
물랑 루즈,9.04
티벳에서의 7년,9.04
엑스맨: 퍼스트 클래스,9.04
"알로, 슈티",9.04
굿바이,9.04
불멸의 연인,9.04
비긴 어게인,9.04
볼트,9.04
레이,9.04
진용,9.04
라스트 듀얼: 최후의 결투,9.03
영구와 땡칠이,9.03
세컨핸드 라이온스,9.03
젝스키스 에이틴,9.03
서칭 포 슈가맨,9.03
콜드 마운틴,9.03
케이 팩스,9.03
타샤 튜더,9.03
스윗 프랑세즈,9.03
택시운전사,9.03
인디아나 존스,9.03
크로싱,9.03
툴리,9.03
로마,9.03
에너미 앳 더 게이트,9.03
인사이드 잡,9.03
브이 포 벤데타,9.03
성원,9.03
슈퍼스타 감사용,9.02
싱 스트리트,9.02
파리넬리,9.02
인생 후르츠,9.02
양들의 침묵,9.02
결혼 이야기,9.02
스즈미야 하루히의 소실,9.02
다크 나이트 라이즈,9.02
토이 스토리 4,9.02
청설,9.02
러시 : 더 라이벌,9.02
극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,9.02
동감,9.02
고양이 춤,9.02
보스 베이비 2,9.02
미져리,9.02
사랑의 선물,9.02
쿵푸 팬더,9.02
어네스트와 셀레스틴,9.02
말레나,9.02
마이 시스터즈 키퍼,9.02
빅 피쉬,9.02
연평해전,9.02
원스 어폰 어 타임 인 아메리카,9.02
국제시장,9.02
"그 시절, 우리가 좋아했던 소녀",9.01
온워드: 단 하루의 기적,9.01
마다가스카3 : 이번엔 서커스다!,9.01
극장판 도라에몽:신 진구의 버스 오브 재팬,9.01
끝까지 간다,9.01
론 서바이버,9.01
휘트니,9.01
더티 댄싱,9.01
산이 울다,9.01
룸,9.01
박하사탕,9.01
독수리 에디,9.01
명탐정 코난: 칠흑의 추적자,9.01
개를 훔치는 완벽한 방법,9.01
원피스 극장판 제트,9.01
베테랑,9.01
델마와 루이스,9.01
마녀 배달부 키키,9.01
메리와 맥스,9.00
고스트 메신저 극장판,9.00
씨 인사이드,9.00
어거스트 러쉬,9.00
하이큐!! 승자와 패자,9.00
수상한 그녀,9.00
세상을 바꾼 변호인,9.00
십계,9.00
변호인,9.00
스타워즈 에피소드 6 - 제다이의 귀환,9.00
꽃다발 같은 사랑을 했다,9.00
"조제, 호랑이 그리고 물고기들",9.00
불꽃 슛 통키,9.00
내 이야기!!,9.00
골!,9.00
인턴,9.00
크루즈 패밀리: 뉴 에이지,9.00
K-19 위도우메이커,9.00
블루 라군,8.99
스타워즈 에피소드 4 - 새로운 희망,8.99
미션 임파서블,8.99
파이브 피트,8.99
"안녕, 나의 소울메이트",8.99
내부자들,8.99
코알라,8.99
다이노소어 어드벤처 3D,8.99
말하는 건축가,8.99
소스 코드,8.99
스플릿,8.99
벅스 라이프,8.99
원스,8.99
새미의 어드벤쳐,8.99
스타쉽 트루퍼스,8.99
아메리칸 뷰티,8.99
번지 점프를 하다,8.99
루키,8.99
해피 피트 2,8.99
브레이크다운,8.99
마법에 걸린 사랑,8.99
천녀유혼 3 - 도도도,8.99
연애소설,8.99
레인 오버 미,8.99
명탐정 코난: 순흑의 악몽,8.99
터미널,8.98
슈퍼배드,8.98
레인 맨,8.98
극장판 마법소녀 마도카☆마기카 [전편] 시작의 이야기,8.98
울학교 이티,8.98
록 스탁 앤 투 스모킹 배럴즈,8.98
빅뱅 메이드,8.98
흐르는 강물처럼,8.98
씽,8.98
더 헌트,8.98
선생 김봉두,8.98
종횡사해,8.98
곰돌이 푸 다시 만나 행복해,8.97
선물,8.97
디스트릭트 9,8.97
맘마미아!2,8.97
내 마음의 풍금,8.97
암살,8.97
극장판 포켓몬스터 모두의 이야기,8.97
고장난 론,8.97
카,8.97
더 리더: 책 읽어주는 남자,8.97
시카고,8.97
킹콩,8.97
진링의 13소녀,8.97
영웅본색 2,8.97
불가사리,8.97
윤희에게,8.97
태양의 노래,8.97
오버 더 레인보우,8.96
마음이...,8.96
극장판 사이코패스,8.96
어벤져스: 인피니티 워,8.96
본 슈프리머시,8.96
배트맨 비긴즈,8.96
김정일리아,8.96
무간도 3 - 종극무간,8.96
5일의 마중,8.96
카우보이 비밥 - 천국의 문,8.96
더 파더,8.96
분노의 질주: 더 익스트림,8.96
오만과 편견,8.96
스노우 워커,8.96
미션,8.96
미스 리틀 선샤인,8.96
스타트렉 다크니스,8.96
솔드 아웃,8.96
엣지 오브 투모로우,8.96
담보,8.95
나의 특별한 형제,8.95
리틀 보이,8.95
죠스,8.95
이보다 더 좋을 순 없다,8.95
극장판 소드 아트 온라인 -오디널 스케일-,8.95
키즈 리턴,8.95
우린 액션배우다,8.95
우리 학교,8.95
인비저블 게스트,8.94
피아노의 숲,8.94
"극장판 포켓몬스터 베스트위시 : 신의 속도 게노세크트, 뮤츠의 각성",8.94
시,8.94
스윙걸즈,8.94
분노의 질주: 언리미티드,8.94
남매의 여름밤,8.94
가부와 메이 이야기,8.94
프리 가이,8.94
그것만이 내 세상,8.94
씨민과 나데르의 별거,8.94
대니쉬 걸,8.94
파니 핑크,8.94
가디언즈 오브 갤럭시 VOL. 2,8.94
"그날, 바다",8.94
벤자민 버튼의 시간은 거꾸로 간다,8.94
파인딩 포레스터,8.94
A-특공대,8.94
제8요일,8.94
주먹이 운다,8.94
앨빈과 슈퍼밴드,8.94
행복을 찾아서,8.94
리오,8.94
원초적 본능,8.94
극장판 나루토 질풍전: 로드 투 닌자,8.93
신세계,8.93
퍼펙트 게임,8.93
비투스,8.93
미쓰 와이프,8.93
스포트라이트,8.93
러브 액츄얼리,8.93
홈,8.93
인어 공주,8.93
매디슨 카운티의 다리,8.93
루이스,8.93
호밀밭의 반항아,8.93
스카페이스,8.93
덤보,8.93
초콜렛 도넛,8.93
뜨거운 안녕,8.93
서치,8.93
천녀유혼 2 - 인간도,8.93
존 큐,8.93
기쿠지로의 여름,8.92
레이더스,8.92
소년은 울지 않는다,8.92
"나는 내일, 어제의 너와 만난다",8.92
아이언맨,8.92
여행자,8.92
하이큐!! 끝과 시작,8.92
이별의 아침에 약속의 꽃을 장식하자,8.92
초콜릿,8.92
게임의 법칙,8.92
48미터,8.92
디어 헌터,8.92
캡틴 아메리카: 윈터 솔져,8.92
노무현입니다,8.91
원피스 필름 골드,8.91
마담 프루스트의 비밀정원,8.91
투 브라더스,8.91
부러진 화살,8.91
캐리비안의 해적 - 망자의 함,8.91
꼬마 니콜라,8.91
무서운 집,8.91
볼케이노,8.91
드래곤 길들이기 2,8.91
라스트 모히칸,8.91
비밥바룰라,8.91
중경삼림,8.91
내니 맥피 2 - 유모와 마법소동,8.91
극장판 슈타인즈 게이트: 부하영역의 데자뷰,8.91
굿바이 레닌,8.91
람보,8.90
"다만, 널 사랑하고 있어",8.90
다이 하드 4.0,8.90
페어리테일: 봉황의 무녀,8.90
사랑 후에 남겨진 것들,8.90
잔칫날,8.90
서편제,8.90
태양 아래,8.90
록키 발보아,8.90
하녀,8.90
소림축구,8.90
배심원들,8.90
해리 포터와 비밀의 방,8.90
추억의 마니,8.90
거인,8.90
바르다가 사랑한 얼굴들,8.90
미이라 2,8.90
더 데이,8.89
스파이더맨,8.89
앙: 단팥 인생 이야기,8.89
얼라이드,8.89
장수상회,8.89
웰컴 투 동막골,8.89
1917,8.89
100일 동안 100가지로 100퍼센트 행복찾기,8.89
해리가 샐리를 만났을 때,8.89
극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드,8.89
좋은 친구들,8.89
노다메 칸타빌레 최종악장,8.89
엘리트 스쿼드 2,8.89
미드나잇 선,8.89
그날 본 꽃의 이름을 우리는 아직 모른다,8.89
쉬즈 더 맨,8.89
명탐정 코난: 비색의 탄환,8.88
그녀를 믿지 마세요,8.88
극장판 유희왕 더 다크 사이드 오브 디멘션즈,8.88
슈렉,8.88
와일드 카드,8.88
헬로우 고스트,8.88
쉬리,8.88
트롤: 월드 투어,8.88
페르디난드,8.88
1급기밀,8.88
앨빈과 슈퍼밴드 2,8.88
엑스맨: 데이즈 오브 퓨처 패스트,8.88
마당을 나온 암탉,8.88
그렇게 아버지가 된다,8.88
황혼의 사무라이,8.87
스파이 게임,8.87
우리는 동물원을 샀다,8.87
...ing,8.87
디태치먼트,8.87
명탐정 코난: 은빛 날개의 마술사,8.87
아무도 모른다,8.87
파이트 클럽,8.87
U-571,8.87
트루 라이즈,8.87
이퀼리브리엄,8.87
청원,8.87
복수혈전,8.87
콜 오브 와일드,8.87
프라이멀 피어,8.87
팀 버튼의 크리스마스 악몽,8.87
아웃포스트,8.87
심연,8.87
슈퍼노바 지구 탈출기,8.86
라이프 오브 파이,8.86
의형제,8.86
드리머,8.86
댄싱퀸,8.86
천사의 사랑,8.86
프렌즈: 몬스터 섬의 비밀,8.86
트레인스포팅,8.86
사탄의 인형,8.86
LA 컨피덴셜,8.86
비포 선라이즈,8.86
바닐라 스카이,8.86
우먼 인 골드,8.86
극장판 도라에몽: 진구와 철인군단 날아라 천사들,8.86
아이언맨 3,8.85
쿼바디스,8.85
맨 온 파이어,8.85
각설탕,8.85
순정,8.85
천로역정: 천국을 찾아서,8.85
트랜스포머,8.85
짱구는 못말려 극장판: 폭풍수면! 꿈꾸는 세계 대돌격,8.85
예스 맨,8.85
무사,8.85
그 여자 작사 그 남자 작곡,8.85
나의 소녀시대,8.85
극장판 포켓몬스터 너로 정했다!,8.85
영화는 영화다,8.85
일일시호일,8.85
원피스 극장판: 스트롱 월드,8.84
굿모닝 맨하탄,8.84
글러브,8.84
토르: 라그나로크,8.84
김복동,8.84
희극지왕,8.84
스왈로우테일 버터플라이,8.84
초록물고기,8.84
짱구는 못말려 극장판: 초시공! 태풍을 부르는 나의 신부,8.84
파이터,8.84
매트릭스 2 - 리로디드,8.84
내 머리 속의 지우개,8.84
지구를 지켜라!,8.84
"어느 날, 사랑이 걸어왔다",8.84
시티 오브 갓,8.84
델타 보이즈,8.84
여배우는 오늘도,8.84
페이스 메이커,8.84
처음 만나는 자유,8.83
라스트 미션,8.83
데블스 에드버킷,8.83
첫잔처럼,8.83
달콤한 인생,8.83
크레이지 뷰티풀,8.83
블랙북,8.83
미션 임파서블 3,8.83
리틀 포레스트,8.83
12 몽키즈,8.83
7번방의 선물,8.83
토탈 리콜,8.83
"스탠바이, 웬디",8.83
코요테 어글리,8.83
미스터트롯: 더 무비,8.83
연인,8.82
트럼보,8.82
에이미,8.82
8 마일,8.82
작은 아씨들,8.82
극장판 도라에몽:진구의 남극 꽁꽁 대모험,8.82
배트맨,8.82
패트리어트 - 늪 속의 여우,8.82
슬럼독 밀리어네어,8.82
빅풋 주니어,8.82
탑건,8.82
다크 워터스,8.82
바스켓볼 다이어리,8.82
계춘할망,8.82
믿음의 승부,8.82
10분,8.82
타마코 러브 스토리,8.82
족벌 두 신문 이야기,8.81
아일랜드,8.81
레퀴엠,8.81
미라클 벨리에,8.81
메멘토,8.81
비트,8.81
라스베가스를 떠나며,8.81
고양이를 부탁해,8.81
라이어 라이어,8.81
집으로 가는 길,8.81
더티 댄싱 - 하바나 나이트,8.81
스타더스트,8.81
춘희막이,8.81
천문: 하늘에 묻는다,8.81
아멜리에,8.81
약속,8.81
킹스맨 : 시크릿 에이전트,8.81
매드맥스: 분노의 도로,8.81
제5원소,8.81
스트레이트 아웃 오브 컴턴,8.81
락앤롤 보트,8.80
아홉 스님,8.80
브리짓 존스의 베이비,8.80
폴라 익스프레스,8.80
위플래쉬,8.80
한공주,8.80
스테이션 7,8.80
분노의 질주: 더 맥시멈,8.80
너의 이름은.,8.80
어벤져스,8.80
스파이,8.80
두레소리,8.80
뽀로로 극장판 컴퓨터 왕국 대모험,8.80
드라큐라,8.80
극장판 요괴워치: 탄생의 비밀이다냥!,8.79
말죽거리 잔혹사,8.79
미드웨이,8.79
크게 될 놈,8.79
완득이,8.79
비열한 거리,8.79
미녀는 괴로워,8.79
찰리와 초콜릿 공장,8.79
봄 여름 가을 겨울 그리고 봄,8.79
범죄의 재구성,8.79
이번 일요일에,8.79
죽여주는 여자,8.79
여름날 우리,8.79
루돌프와 많이있어,8.79
오픈 유어 아이즈,8.79
바람의 소리,8.79
나우 이즈 굿,8.79
쓰리 빌보드,8.79
집오리와 들오리의 코인로커,8.79
"아이, 로봇",8.79
이미테이션 게임,8.79
다음 침공은 어디?,8.79
라빠르망,8.79
스파이더맨 2,8.79
극장판 루팡 3세 VS 명탐정 코난,8.78
소공녀,8.78
"심슨 가족, 더 무비",8.78
부에나 비스타 소셜 클럽,8.78
굿 다이노,8.78
명탐정 코난:진홍의 연가,8.78
극장판 원피스 스탬피드,8.78
달라스 바이어스 클럽,8.78
썬더와 마법저택,8.78
미녀와 야수,8.78
메가마인드,8.78
서태지 심포니,8.78
펄프 픽션,8.78
화양연화,8.78
극장판 포켓 몬스터 DP - 환영의 패왕 조로아크,8.78
불편한 진실,8.78
출국,8.78
극장판 요괴워치 섀도사이드: 도깨비왕의 부활,8.78
비포 선셋,8.77
아이스 에이지 3: 공룡시대,8.77
패트리어트 데이,8.77
"가장 따뜻한 색, 블루",8.77
마이펫의 이중생활2,8.77
스텝업4 : 레볼루션,8.77
더 포스트,8.77
데이비드 게일,8.77
내겐 너무 가벼운 그녀,8.77
"나의 사랑, 그리스",8.77
인 어 베러 월드,8.77
어바웃 어 보이,8.77
슈퍼배드 2,8.77
알 포인트,8.77
혹성탈출: 진화의 시작,8.77
사이비,8.77
액트 오브 킬링,8.77
박사가 사랑한 수식,8.76
김씨 표류기,8.76
란도리,8.76
박치기!,8.76
"장화, 홍련",8.76
엘프,8.76
리즈와 파랑새,8.76
김복남 살인사건의 전말,8.76
딥 임팩트,8.76
피터 래빗,8.76
찬실이는 복도 많지,8.75
러시 아워,8.75
에픽 : 숲속의 전설,8.75
도라에몽:스탠바이미,8.75
울고 싶은 나는 고양이 가면을 쓴다,8.75
공수도,8.75
사랑은 비가 갠 뒤처럼,8.75
넛잡 2,8.75
워크 투 리멤버,8.75
아메리칸 셰프,8.75
도그빌,8.75
대니 콜린스,8.75
해리 포터와 아즈카반의 죄수,8.75
본 아이덴티티,8.75
애자,8.75
벌새,8.75
지금 만나러 갑니다,8.74
극장판 도라에몽: 진구의 보물섬,8.74
극장판 헬로카봇:옴파로스 섬의 비밀,8.74
포켓몬 더 무비 XY 후파: 광륜의 초마신,8.74
더 페이버릿: 여왕의 여자,8.74
후 아 유,8.74
극장판 명탐정 코난:탐정들의 진혼가,8.74
러시 아워 2,8.74
미션 임파서블: 로그네이션,8.74
고야의 유령,8.74
크리스마스에 기적을 만날 확률,8.74
미션 임파서블 : 고스트 프로토콜,8.74
택시 드라이버,8.74
러덜리스,8.74
터닝메카드W: 블랙미러의 부활,8.74
아이리시맨,8.74
브링 잇 온,8.74
네버랜드를 찾아서,8.73
프리키 프라이데이,8.73
본 투 비 블루,8.73
몬태나,8.73
다이 하드 2,8.73
레고 무비2,8.73
월터의 상상은 현실이 된다,8.73
